№ п/п;№ ЖДЦ;ТИП;Грузоподъёмность ;№ акта;Дата браковки;Причина;Собственник
1;75107136;101;68;1;01.01.2022;прикрытие;АО НТС
2;50643741;66;68;1;01.01.2022;прикрытие;АО НТС
3;51783413;66;66;1;01.01.2022;раковина боковой рамы;АО НТС
4;54245592;90;66;2;01.01.2022;прикрытие;АО НТС
5;54246533;106;66;2;01.01.2022;прикрытие;АО НТС
6;74911264;66;66;2;01.01.2022;трос слетел;АО НТС
7;54704366;66;66;3;01.01.2022;прикрытие;АО НТС
8;73607483;90;66;3;01.01.2022;прикрытие;АО НТС
9;57206690;92;66;3;01.01.2022;тонкий гребень;АО НТС
10;57409807;90;66;3;01.01.2022;тонкий гребень;АО НТС
11;54071782;66;66;4;02.01.2022;прикрытие;
12;51211068;72;66;4;02.01.2022;прикрытие;
13;57156028;90;66;4;02.01.2022;СЛЕТЕЛ ТРОС;ТРАНСОИЛ
14;51216935;106;66;5;02.01.2022;прикрытие;"АО ""НТС"""
15;57380875;92;66;5;02.01.2022;прикрытие;"АО ""НТС"""
16;50066349;106;66;5;02.01.2022;выщербина;"АО ""НТС"""
17;53985420;92;66;5;02.01.2022;тонкий гребень;"АО ""НТС"""
18;53856241;90;66;6;03.01.2022;прикрытие;"АО ""НТС"""
19;53981528;66;66;6;03.01.2022;прикрытие;"АО ""НТС"""
20;50610674;66;68;6;03.01.2022;нет акта годности;"АО ""НТС"""
21;50001304;62;60;6;03.01.2022;трос слетел;ЭКЗА(РН-Транс)
22;73999476;92;66;7;03.01.2022;Прикрытие;"АО ""НТС"""
23;75009415;106;66;7;03.01.2022;Прикрытие;"АО ""НТС"""
24;50644095;66;68;8;03.01.2022;прикрытие;"АО ""НТС"""
25;54695051;90;66;8;03.01.2022;прикрытие;"АО ""НТС"""
26;57066128;106;66;8;03.01.2022;тонкий гребень;"АО ""НТС"""
27;75114553;101;68;9;04.01.2022;прикрытие;"АО ""НТС"""
28;50623974;66;68;9;04.01.2022;прикрытие;РН-Транс
29;51922896;66;66;9;04.01.2022;не исправлен поглощающий аппарат;ТРАНСОЙЛ
30;55052641;90;66;10;04.01.2022;прикрытие;"АО ""НТС"""
31;50743533;82;65;10;04.01.2022;прикрытие;
32;75001271;66;66;11;04.01.2022;прикрытие;АО НТС
33;75129411;92;66;11;04.01.2022;прикрытие;АО НТС
34;51784064;86;66;11;04.01.2022;раковина боковой рамы;АО НТС
35;56904907;90;66;11;04.01.2022;СЛЕТЕЛ ТРОС;АО НТС
36;51616555;66;66;12;05.01.2022;прикрытие;АО НТС
37;50416296;90;66;12;05.01.2022;прикрытие;АО НТС
38;50117878;106;66;13;05.01.2022;прикрытие;АО НТС
39;73924177;66;66;13;05.01.2022;прикрытие;АО НТС
40;50554203;66;68;13;05.01.2022;СЛЕТЕЛ ТРОС;"АО""ННК"""
41;51616555;66;66;14;05.01.2022;прикрытие;АО НТС
42;50416296;90;66;14;05.01.2022;прикрытие;АО НТС
43;54050463;66;66;14;05.01.2022;тонкий гребень;АО НТС
44;73908824;92;66;15;06.01.2022;прикрытие;АО НТС
45;75046201;66;66;15;06.01.2022;прикрытие;АО НТС
46;50612894;72;66;15;06.01.2022;раковина боковой рамы;АО НТС
47;54695051;90;66;15;06.01.2022;НЕ ОБРАБ. ПОД НАЛИВ;АО НТС
48;73972663;66;66;15;06.01.2022;нестандартный продукт;"АО ""НТС"""
49;57114423;66;66;16;06.01.2022;прикрытие;НефтеТрансСерв
50;50001486;62;60;16;06.01.2022;прикрытие;ЭКЗА(РН-Транс)
52;75129411;92;66;16;06.01.2022;выщербина;"АО""НТС"""
