№ поезда;Порядковый № вагона;Дата;№ вагона;Тип вагона;Тара;Брутто;Нетто;Скорость
761304;41;01.01.2023 01:41:20;73915704;106;0;27100;0;-2,31
761304;40;01.01.2023 01:41:36;50919992;90;0;26350;0;-2,37
761304;39;01.01.2023 01:41:57;50787738;72;0;27550;0;-2,41
761304;38;01.01.2023 01:42:13;58649674;106;0;27250;0;-2,5
761304;37;01.01.2023 01:42:35;73978645;66;0;25800;0;-2,58
761304;36;01.01.2023 01:42:50;73217689;90;0;27050;0;-2,55
761304;35;01.01.2023 01:43:06;51752418;62;0;24950;0;-2,51
761304;34;01.01.2023 01:43:23;51157972;62;0;25250;0;-2,58
761304;33;01.01.2023 01:43:39;50652106;66;0;24200;0;-2,71
761304;32;01.01.2023 01:43:56;57414989;106;0;26450;0;-2,77
761304;31;01.01.2023 01:44:12;58277344;106;0;26600;0;-3,04
761304;30;01.01.2023 01:44:28;51158343;66;0;25050;0;-3,31
761304;29;01.01.2023 01:44:41;50629617;62;0;24500;0;-3,08
761304;28;01.01.2023 01:44:58;50630250;62;0;24900;0;-2,81
761304;27;01.01.2023 01:45:15;50591379;62;0;24550;0;-2,57
761304;26;01.01.2023 01:45:26;51275998;72;0;27550;0;-2,31
761304;25;01.01.2023 01:45:46;54703426;106;0;27300;0;-2,28
761304;24;01.01.2023 01:46:07;51412443;66;0;26400;0;-2,74
761304;23;01.01.2023 01:46:23;50194976;66;0;25250;0;-2,68
761304;22;01.01.2023 01:46:39;57003758;66;0;26050;0;-2,2
761304;21;01.01.2023 01:47:00;74921255;92;0;26700;0;-2,61
761304;20;01.01.2023 01:47:20;50596220;72;0;26450;0;-2,59
761304;19;01.01.2023 01:47:37;57178931;90;0;27500;0;-2,28
761304;18;01.01.2023 01:47:53;51882231;106;0;26500;0;-2,19
761304;17;01.01.2023 01:48:14;55314025;90;0;27000;0;-2,18
761304;16;01.01.2023 01:48:34;50359462;85;0;26200;0;-2,14
761304;15;01.01.2023 01:48:55;51151710;62;0;23500;0;-2,15
761304;14;01.01.2023 01:49:15;58275371;106;0;27250;0;-2,21
761304;13;01.01.2023 01:49:36;50573401;62;0;24900;0;-2,3
761304;12;01.01.2023 01:49:56;57575094;66;0;26750;0;-2,38
761304;11;01.01.2023 01:50:13;54695267;90;0;27150;0;-2,52
761304;10;01.01.2023 01:50:33;51861284;90;0;26300;0;-2,61
761304;9;01.01.2023 01:50:49;58642752;106;0;27300;0;-2,67
761304;8;01.01.2023 01:51:06;50623685;66;0;25250;0;-2,75
761304;7;01.01.2023 01:51:22;73966905;106;0;27050;0;-2,71
761304;6;01.01.2023 01:51:40;73540684;90;0;27250;0;-2,73
761304;5;01.01.2023 01:51:57;75101527;101;0;25850;0;-2,89
761304;4;01.01.2023 01:52:07;51669109;86;0;27100;0;-3,08
761304;3;01.01.2023 01:52:24;55946826;106;0;27350;0;-3,19
761304;2;01.01.2023 01:52:36;51519536;72;0;25750;0;-3,29
761304;1;01.01.2023 01:52:54;75034488;92;0;27700;0;-3,43
761345;1;01.01.2023 03:35:54;57187395;;27850;28050;200;2,43
761345;2;01.01.2023 03:36:11;54240205;;27100;26950;0;2,58
761345;3;01.01.2023 03:36:27;73090953;;27600;88900;61300;2,2
761345;4;01.01.2023 03:36:47;50629864;;24500;77550;53050;2,03
761345;5;01.01.2023 03:37:08;73981946;;26450;88100;61650;2,25
761345;6;01.01.2023 03:37:24;75048264;;26450;87350;60900;2,38
761345;7;01.01.2023 03:37:41;75102269;;26700;88200;61500;2,15
761345;8;01.01.2023 03:38:01;50499037;;26950;88200;61250;2,07
761345;9;01.01.2023 03:38:22;51564383;;26450;78400;51950;2,39
761345;10;01.01.2023 03:38:38;57178519;;26700;27050;350;2,92
761345;11;01.01.2023 03:38:55;57272346;;26400;88050;61650;2,84
761345;12;01.01.2023 03:39:11;55051908;;27050;88300;61250;2,65
761345;13;01.01.2023 03:39:23;50069350;;26500;87550;61050;2,4
761345;14;01.01.2023 03:39:40;57234353;;26600;87050;60450;2,12
761345;15;01.01.2023 03:40:00;73967481;;27050;87650;60600;1,96
761345;16;01.01.2023 03:40:20;50750793;;25400;86350;60950;2,33
761345;17;01.01.2023 03:40:41;52137197;;27150;87600;60450;2,85
761345;18;01.01.2023 03:40:57;54715214;;26800;87750;60950;3,25
761345;19;01.01.2023 03:41:10;50624139;;24150;85200;61050;3,52
761345;20;01.01.2023 03:41:22;73910762;;27650;88500;60850;3,43
761345;21;01.01.2023 03:41:34;56901127;;27850;79450;51600;3,1
761345;22;01.01.2023 03:41:46;73717308;;25750;86650;60900;2,59
761345;23;01.01.2023 03:41:59;57341414;;27400;88200;60800;2,24
761345;24;01.01.2023 03:42:19;50334846;;27100;87850;60750;2,02
761345;25;01.01.2023 03:42:39;54078738;;27500;88050;60550;2,24
761345;26;01.01.2023 03:42:56;58641325;;27300;87000;59700;2,61
761345;27;01.01.2023 03:43:13;57169104;;27450;89250;61800;2,91
761345;28;01.01.2023 03:43:29;73964223;;27000;87050;60050;3,26
761345;29;01.01.2023 03:43:41;54702048;;27500;88650;61150;3,56
761345;30;01.01.2023 03:43:53;54695549;;26850;88450;61600;3,66
761345;31;01.01.2023 03:44:06;73072811;;26550;86850;60300;3,46
761345;32;01.01.2023 03:44:14;73012759;;27150;87350;60200;3,21
761345;33;01.01.2023 03:44:30;75054205;;27450;87650;60200;3,13
761345;34;01.01.2023 03:44:43;57178287;;27650;86900;59250;3,17
761345;35;01.01.2023 03:44:55;57408346;;27250;87750;60500;3,37
761345;36;01.01.2023 03:45:07;54594718;;27000;87250;60250;3,5
761345;37;01.01.2023 03:45:19;73969818;;26800;87600;60800;3,35
761345;38;01.01.2023 03:45:32;73040503;;24250;76500;52250;3,33
761345;39;01.01.2023 03:45:44;57207151;;26900;87850;60950;3,15
761345;40;01.01.2023 03:45:56;54704358;;26750;86750;60000;3,2
761385;41;01.01.2023 05:26:17;57245433;106;0;27150;0;-2,35
761385;40;01.01.2023 05:26:38;50629476;62;0;25100;0;-2,4
761385;39;01.01.2023 05:27:02;50624311;66;0;25350;0;-2,46
761385;38;01.01.2023 05:27:14;54241492;106;0;26550;0;-2,52
761385;37;01.01.2023 05:27:31;73994063;92;0;27600;0;-2,58
761385;36;01.01.2023 05:27:47;57431710;66;0;25550;0;-2,59
761385;35;01.01.2023 05:28:04;54242086;66;0;27200;0;-2,49
761385;34;01.01.2023 05:28:24;51260545;66;0;26600;0;-2,57
761385;33;01.01.2023 05:28:40;54240189;106;0;26350;0;-2,7
761385;32;01.01.2023 05:28:57;51050516;62;0;24700;0;-2,75
761385;31;01.01.2023 05:29:13;73971905;66;0;26450;0;-2,92
761385;30;01.01.2023 05:29:30;75100115;101;0;24950;0;-3,19
761385;29;01.01.2023 05:29:42;75052316;106;0;27200;0;-3,28
761385;28;01.01.2023 05:29:54;57359614;86;0;28700;0;-3,27
761385;27;01.01.2023 05:30:12;54240403;106;0;26350;0;-2,86
761385;26;01.01.2023 05:30:23;54695333;90;0;27300;0;-2,31
761385;25;01.01.2023 05:30:43;74931528;101;0;25550;0;-2,61
761385;24;01.01.2023 05:31:04;73963217;92;0;26600;0;-2,83
761385;23;01.01.2023 05:31:16;57238305;66;0;26000;0;-2,4
761385;22;01.01.2023 05:31:36;73981730;66;0;26350;0;-2,68
761385;21;01.01.2023 05:31:53;73219081;90;0;26850;0;-3,22
761385;20;01.01.2023 05:32:09;51241354;66;0;26400;0;-3,1
761385;19;01.01.2023 05:32:22;75053751;106;0;27150;0;-2,54
761385;18;01.01.2023 05:32:38;74935180;92;0;27550;0;-2,14
761385;17;01.01.2023 05:32:58;57253361;90;0;26950;0;-1,96
761385;16;01.01.2023 05:33:19;75053058;106;0;27150;0;-2,05
761385;15;01.01.2023 05:33:43;73328783;90;0;26300;0;-2,75
761385;14;01.01.2023 05:34:00;73277485;90;0;27100;0;-2,94
761385;13;01.01.2023 05:34:16;73092363;90;0;26650;0;-2,73
761385;12;01.01.2023 05:34:33;50624303;66;0;24850;0;-2,63
761385;11;01.01.2023 05:34:49;54797212;66;0;25350;0;-2,66
761385;10;01.01.2023 05:35:05;51851418;90;0;27000;0;-2,68
761385;9;01.01.2023 05:35:22;51048965;62;0;24400;0;-2,72
761385;8;01.01.2023 05:35:38;50851195;66;0;26800;0;-2,71
761385;7;01.01.2023 05:35:55;57371148;66;0;26650;0;-2,66
761385;6;01.01.2023 05:36:11;50616663;62;0;23400;0;-2,71
761385;5;01.01.2023 05:36:27;73974370;66;0;25650;0;-2,82
761385;4;01.01.2023 05:36:44;54770961;66;0;26650;0;-2,98
761385;3;01.01.2023 05:36:56;51543015;72;0;27950;0;-3,05
761385;2;01.01.2023 05:37:12;53920021;72;0;25850;0;-3,11
761385;1;01.01.2023 05:37:25;50624089;66;0;25100;0;-3,22
761426;1;01.01.2023 16:33:09;;;0;26150;0;2,64
761426;2;01.01.2023 16:33:23;51571826;;0;24450;0;2,5
761426;3;01.01.2023 16:33:42;51931038;;0;25500;0;2,66
761426;4;01.01.2023 16:33:59;50176270;;0;25500;0;2,95
761426;5;01.01.2023 16:34:15;57355943;;0;26300;0;2,93
761426;6;01.01.2023 16:34:28;75034488;;27700;27500;0;2,75
761426;7;01.01.2023 16:34:44;51519536;;25750;25650;0;2,65
761426;8;01.01.2023 16:35:00;55946826;;27350;91550;64200;2,6
761426;9;01.01.2023 16:35:17;51669109;;27100;87100;60000;2,83
761426;10;01.01.2023 16:35:33;75101527;;25850;92450;66600;2,8
761426;11;01.01.2023 16:35:45;73540684;;27250;92150;64900;2,64
761426;12;01.01.2023 16:36:02;73966905;;27050;91300;64250;2,48
761426;13;01.01.2023 16:36:18;50623685;;25250;89850;64600;2,38
761426;14;01.01.2023 16:36:34;58642752;;27300;91550;64250;2,31
761426;15;01.01.2023 16:36:51;51861284;;26300;90400;64100;2,28
761426;16;01.01.2023 16:37:11;54695267;;27150;91600;64450;2,32
