№ п/п;№ ЖДЦ;ТИП;Грузоподъёмность ;№ акта;Дата браковки;Причина;Собственник
1;50394071;62;60;158;28.02.2023;Выбита спиральная пружина, раковина боковой рамы;"АО ""НТС"""
2;73994444;92;66;158;28.02.2023;Выбита спиральная пружина;"АО ""НТС"""
3;58274663;90;66;159;28.02.2023;Прикрытие;"АО ""НТС"""
4;51372548;72;65;159;28.02.2023;Прикрытие;"АО ""НТС"""
5;53884003;90;66;159;28.02.2023;Акт под БГС;"АО ""НТС"""
6;50753201;66;68;159;28.02.2023;Раковина боковой рамы;"АО ""НТС"""
7;75133553;106;66;160;01.03.2023;Прикрытие;"АО ""НТС"""
8;73071318;90;66;160;01.03.2023;Прикрытие;"АО ""НТС"""
9;57202897;90;66;161;01.03.2023;Прикрытие;"АО ""НТС"""
10;73908881;92;66;161;01.03.2023;Прикрытие;"АО ""НТС"""
11;75049825;66;66;161;01.03.2023;прокачка;"АО ""НТС"""
12;50481365;90;66;162;01.03.2023;Прикрытие;"АО ""НТС"""
13;51249597;62;66;162;01.03.2023;Прикрытие;"АО ""НТС"""
14;75113886;106;66;162;01.03.2023;Тонкий гребень;"АО ""НТС"""
15;50561331;66;68;163;02.03.2023;Прикрытие;?
16;51839983;92;66;163;02.03.2023;Прикрытие;"АО ""НТС"""
17;53979548;72;66;164;02.03.2023;Прикрытие;"АО ""НТС"""
18;50064146;66;66;164;02.03.2023;Прикрытие;"АО ""НТС"""
19;50054865;66;66;164;02.03.2023;Раковина боковой рамы;"АО ""НТС"""
20;57147233;90;66;164;02.03.2023;Тонкий гребень;"АО ""НТС"""
21;58644337;90;66;165;02.03.2023;Прикрытие;"АО ""НТС"""
22;73328486;90;66;165;02.03.2023;Прикрытие;"АО ""НТС"""
23;55055719;106;66;166;03.03.2023;Прикрытие;"АО ""НТС"""
24;51411940;66;65;166;03.03.2023;Прикрытие;"АО ""НТС"""
25;73978645;66;66;166;03.03.2023;Тонкий гребень;"АО ""НТС"""
26;55303507;66;66;166;03.03.2023;Тонкий гребень;"АО ""НТС"""
27;74984956;106;66;167;03.03.2023;Прикрытие;"АО ""НТС"""
28;51818631;66;66;167;03.03.2023;Прикрытие;"АО ""НТС"""
29;73963589;92;66;168;04.03.2023;Прикрытие;"АО ""НТС"""
30;75102210;92;66;168;04.03.2023;Прикрытие;"АО ""НТС"""
31;51483527;72;66;168;04.03.2023;брак по стояку (слетел трос);"АО ""НТС"""
32;55052450;90;66;169;04.03.2023;Прикрытие;"АО ""НТС"""
33;58641705;106;66;169;04.03.2023;Прикрытие;"АО ""НТС"""
34;55561989;106;66;169;04.03.2023;Раковина боковой рамы;"АО ""НТС"""
35;50049444;62;60;170;04.03.2023;Прикрытие;РН-Транс
36;57099731;90;66;170;04.03.2023;Прикрытие;"АО ""НТС"""
37;73978553;66;66;170;04.03.2023;брак по стояку (слетел трос);"АО ""НТС"""
38;75050005;66;66;171;05.03.2023;Прикрытие;"АО ""НТС"""
39;57156085;90;66;171;05.03.2023;Прикрытие;"АО ""НТС"""
40;73971681;66;66;171;05.03.2023;Тонкий гребень;"АО ""НТС"""
41;57410516;106;66;172;05.03.2023;Прикрытие;"АО ""НТС"""
42;75062588;106;66;172;05.03.2023;Прикрытие;"АО ""НТС"""
43;75050005;66;66;173;05.03.2023;Прикрытие;"АО ""НТС"""
